country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
India,1850,IND,235732435.0,223302600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,277.32,,,,,,,,,0.193,1.581,277.32,1.176,200.839,0.852,20.668,0.088,,,,,,,,,,,,,,,,10.218,,,,,10.218,,,,,,,,372.715,45.396,,
India,1851,IND,236535920.0,224090504000.0,,,,,,,,,,,,,,,,,,,,,,,,,,491.094,,,,,,,,,0.193,1.434,213.774,0.904,201.612,0.852,21.085,0.089,,,,,,,,,,,,,,,,8.873,,,,,7.579,,,6.463,0.0,0.0,0.0,0.0,339.2,45.622,,
India,1852,IND,237318415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,671.403,,,,,,,,,0.193,1.359,180.308,0.76,202.385,0.853,21.491,0.091,,,,,,,,,,,,,,,,7.944,,,,,6.181,,,6.172,0.0,0.0,0.0,0.0,322.464,45.848,,
India,1853,IND,238079774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,832.311,,,,,,,,,0.194,1.324,160.908,0.676,203.159,0.853,21.88,0.092,,,,,,,,,,,,,,,,7.309,,,,,5.482,,,5.998,0.0,0.0,0.0,0.0,315.248,46.074,,
India,1854,IND,238843552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,979.495,,,,,,,,,0.194,1.301,147.185,0.616,203.933,0.854,22.246,0.093,,,,,,,,,,,,,,,,6.82,,,,,4.946,,,5.845,0.0,0.0,0.0,0.0,310.721,46.3,,
India,1855,IND,239609756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.582,,,,,,,,,0.194,1.279,136.086,0.568,204.708,0.854,22.582,0.094,,,,,,,,,,,,,,,,6.415,,,,,4.495,,,5.715,0.0,0.0,0.001,0.0,306.412,46.525,,
India,1856,IND,240378394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1244.195,,,,,,,,,0.194,1.262,128.613,0.535,205.484,0.855,22.882,0.095,,,,,,,,,,,,,,,,6.089,,,,,4.225,,,5.607,0.0,0.0,0.001,0.0,303.384,46.751,,
India,1857,IND,241149472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1369.529,,,,,,,,,0.195,1.257,125.334,0.52,206.26,0.855,23.14,0.096,,,,,,,,,,,,,,,,5.821,,,,,4.054,,,5.519,0.0,0.0,0.001,0.0,303.243,46.975,,
India,1858,IND,241923000.0,,,,0.394,,,120.039,,,0.496,,,0.002,,,0.394,0.002,,,,,0.394,120.039,0.394,,0.0,1489.174,0.0,,,,,,0.0,0.0,0.197,1.244,119.645,0.495,207.113,0.856,23.349,0.097,0.0,0.0,,,,,0.138,3.533,0.138,,0.006,0.417,0.006,,,5.59,0.0,,,,3.844,0.0,,5.443,0.0,0.0,0.001,0.0,301.069,47.669,,
India,1859,IND,242698983.0,,,,0.636,0.242,61.345,115.918,-4.122,-3.434,0.478,,,0.003,,,0.636,0.003,,,,,1.031,235.957,1.031,,0.0,1604.455,0.0,,,,,,0.0,0.0,0.199,1.234,115.281,0.475,207.937,0.857,23.502,0.097,0.0,0.0,,,,,0.21,3.352,0.21,,0.015,0.731,0.015,,,5.385,0.0,,,,3.653,0.0,,5.369,0.001,0.0,0.001,0.0,299.398,48.18,,
India,1860,IND,243477427.0,,,,0.643,0.007,1.042,115.255,-0.663,-0.572,0.473,,,0.003,,,0.643,0.003,,,,,1.674,351.211,1.674,,0.0,1719.067,0.0,,,,,,0.0,0.0,0.199,1.233,114.612,0.471,208.717,0.857,23.594,0.097,0.0,0.0,,,,,0.194,3.57,0.194,,0.023,0.989,0.023,,,5.259,0.0,,,,3.958,0.0,,5.336,0.001,0.0,0.001,0.0,300.258,48.41,,
India,1861,IND,244258342.0,219618560000.0,,,0.497,-0.146,-22.68,111.724,-3.531,-3.064,0.457,0.509,,0.002,0.002,,0.497,0.002,,,,,2.171,462.935,2.171,,0.0,1830.293,0.0,,,,,,0.0,0.0,0.198,1.224,111.227,0.455,209.468,0.858,23.647,0.097,0.0,0.0,,,,,0.142,3.586,0.143,,0.028,1.199,0.028,,,5.162,0.0,,,,4.02,0.0,,5.316,0.001,0.0,0.001,0.0,299.071,48.457,,
India,1862,IND,245041734.0,,,,0.55,0.053,10.667,108.871,-2.853,-2.553,0.444,,,0.002,,,0.55,0.002,,,,,2.722,571.806,2.722,,0.0,1938.614,0.0,,,,,,0.0,0.0,0.199,1.217,108.321,0.442,210.258,0.858,23.69,0.097,0.0,0.0,,,,,0.155,3.572,0.155,,0.034,1.372,0.034,,,5.082,0.0,,,,4.023,0.0,,5.302,0.001,0.0,0.001,0.0,298.315,48.741,,
India,1863,IND,245827611.0,,,,0.61,0.06,10.843,108.454,-0.417,-0.383,0.441,,,0.002,,,0.61,0.002,,,,,3.332,680.261,3.332,,0.0,2046.458,0.0,,,,,,0.0,0.0,0.199,1.218,107.844,0.439,211.05,0.859,23.725,0.097,0.0,0.0,,,,,0.161,3.565,0.161,,0.039,1.521,0.039,,,5.014,0.0,,,,4.05,0.0,,5.29,0.001,0.0,0.001,0.0,299.521,49.034,,
India,1864,IND,246615984.0,,,,0.577,-0.033,-5.435,106.649,-1.805,-1.665,0.432,,,0.002,,,0.577,0.002,,,,,3.908,786.909,3.908,,0.0,2152.53,0.0,,,,,,0.0,0.0,0.2,1.213,106.072,0.43,211.825,0.859,23.756,0.096,0.0,0.0,,,,,0.141,3.445,0.141,,0.044,1.646,0.044,,,4.948,0.0,,,,3.948,0.0,,5.27,0.001,0.0,0.001,0.0,299.221,49.217,,
India,1865,IND,247406860.0,,,,0.567,-0.01,-1.724,105.228,-1.42,-1.332,0.425,,,0.002,,,0.567,0.002,,,,,4.475,892.137,4.475,,0.0,2257.191,0.0,,,,,,0.0,0.0,0.2,1.21,104.661,0.423,212.604,0.859,23.785,0.096,0.0,0.0,,,,,0.13,3.458,0.131,,0.048,1.754,0.048,,,4.896,0.0,,,,4.013,0.0,,5.256,0.001,0.001,0.002,0.0,299.365,49.428,,
India,1866,IND,248200247.0,,,,0.64,0.073,12.865,105.733,0.505,0.48,0.426,,,0.003,,,0.64,0.003,,,,,5.115,997.87,5.115,,0.0,2362.285,0.0,,,,,,0.0,0.0,0.2,1.213,105.093,0.423,213.401,0.86,23.813,0.096,0.0,0.0,,,,,0.142,3.444,0.143,,0.052,1.851,0.052,,,4.848,0.0,,,,4.01,0.0,,5.24,0.001,0.001,0.002,0.0,301.103,49.738,,
India,1867,IND,248996154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2468.825,,,,,,,,,0.198,1.215,106.54,0.428,214.061,0.86,23.845,0.096,,,,,,,,,,,,,,,,4.812,,,,,4.137,,,5.228,0.001,0.001,0.002,0.0,302.581,49.2,,
India,1868,IND,249794587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2572.49,,,,,,,,,0.198,1.205,103.665,0.415,214.845,0.86,23.882,0.096,,,,,,,,,,,,,,,,4.776,,,,,4.044,,,5.212,0.001,0.001,0.002,0.0,300.946,49.425,,
India,1869,IND,250501067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2676.084,,,,,,,,,0.198,1.207,103.594,0.414,215.629,0.861,23.927,0.096,,,,,,,,,,,,,,,,4.743,,,,,4.053,,,5.197,0.001,0.001,0.002,0.0,302.26,49.651,,
India,1870,IND,251115205.0,215050000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2779.594,,,,,,,,,0.203,1.211,103.51,0.412,217.394,0.866,23.982,0.096,,,,,,,,,,,,,,,,4.685,,,,,3.555,,,5.166,0.001,0.001,0.002,0.0,304.156,50.859,,
India,1871,IND,251636609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2881.877,,,,,,,,,0.203,1.208,102.283,0.406,217.755,0.865,24.37,0.097,,,,,,,,,,,,,,,,4.624,,,,,3.413,,,5.127,0.001,0.001,0.002,0.0,304.022,50.965,,
India,1872,IND,252064885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2986.83,,,,,,,,,0.203,1.22,104.953,0.416,218.116,0.865,25.323,0.1,,,,,,,,,,,,,,,,4.561,,,,,3.324,,,5.079,0.001,0.001,0.002,0.0,307.411,51.09,,
India,1873,IND,252399639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3090.995,,,,,,,,,0.203,1.223,104.165,0.413,218.477,0.866,26.71,0.106,,,,,,,,,,,,,,,,4.499,,,,,3.246,,,5.028,0.001,0.001,0.002,0.0,308.604,51.227,,
India,1874,IND,252734813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3195.032,,,,,,,,,0.203,1.23,104.037,0.412,218.838,0.866,28.401,0.112,,,,,,,,,,,,,,,,4.437,,,,,3.142,,,4.981,0.001,0.001,0.002,0.0,310.905,51.374,,
India,1875,IND,253070405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3299.054,,,,,,,,,0.204,1.237,104.022,0.411,219.199,0.866,30.264,0.12,,,,,,,,,,,,,,,,4.379,,,,,3.122,,,4.932,0.001,0.001,0.003,0.0,313.131,51.526,,
India,1876,IND,253406417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3404.114,,,,,,,,,0.204,1.249,105.06,0.415,219.56,0.866,32.169,0.127,,,,,,,,,,,,,,,,4.324,,,,,3.101,,,4.886,0.002,0.001,0.003,0.0,316.435,51.68,,
India,1877,IND,253742849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3507.91,,,,,,,,,0.204,1.251,103.796,0.409,219.921,0.867,33.984,0.134,,,,,,,,,,,,,,,,4.267,,,,,2.986,,,4.837,0.002,0.001,0.003,0.0,317.493,51.831,,
India,1878,IND,254079702.0,,,,1.767,,,105.653,,,0.416,,,0.007,,,1.767,0.007,,,,,6.882,1103.524,6.882,,0.0,3611.796,0.0,,,,,,0.0,0.0,0.213,1.266,103.886,0.409,220.622,0.868,35.579,0.14,0.0,0.0,,,,,0.249,2.491,0.253,,0.04,1.123,0.04,,,4.213,0.0,,,,2.942,0.0,,4.792,0.002,0.001,0.003,0.0,321.624,54.082,,
India,1879,IND,254760858.0,,,,1.684,-0.083,-4.671,105.399,-0.254,-0.24,0.414,,,0.007,,,1.611,0.006,,,,,8.566,1208.923,8.493,,0.0,3715.511,0.073,,,,,,0.0,0.0,0.212,1.267,103.715,0.407,220.956,0.867,36.823,0.145,0.073,0.0,,,,,0.222,2.424,0.216,,0.048,1.178,0.048,,,4.16,0.09,,,,2.89,0.579,,4.744,0.002,0.001,0.003,0.0,322.908,54.105,,
India,1880,IND,255789440.0,,,,1.887,0.202,12.016,109.429,4.03,3.823,0.428,,,0.007,,,1.777,0.007,,,,,10.453,1318.352,10.27,,0.0,3823.054,0.183,,,,,,0.0,0.0,0.213,1.275,107.543,0.42,221.35,0.865,37.584,0.147,0.11,0.0,,,,,0.22,2.442,0.211,,0.056,1.231,0.055,,,4.113,0.189,,,,2.968,0.716,,4.696,0.002,0.001,0.003,0.0,326.125,54.46,,
